IDEnquestat	IDCol·lector	DataInici	DataFinal	AdreçaElectrònica	Nom	Cognoms	DadesPersonalitzades	Respecte a l'accés a l'habitatge, creus que al teu barri?	Quin creus que és el principal problema en relacio a l'accés a l'habitatge? (Tria fins a dues opcions)								Creus que la situació respecte a l'ensenyament públic (incloses totes les etapes) al barri és?	Quin creus que és el principal problema en relació  a l'accés a l’escola pública? (Tria fins a dues opcions)						Creus que la situació de l’atenció sanitària pública al teu barri és?	Quin creus que és el principal problema en relació a l'accés a l’atenció sanitària? (Tria fins a dues opcions)							Creus que les tarifes actuals del transport públic són?	Com valoraries la qualitat de l'aire que es respira al teu barri?	El nivell de soroll (diürn i nocturn) en el teu barri és?	Creus que el nivell de turisme al teu barri és?	Quin creus que és el principal inconvenient en relació al nivell de turisme al teu barri? (Tria fins a dues opcions)								Quins tipus d'espai fan més falta al barri? (Tria fins a dues opcions)							Les possibilitats per què la ciutadania opini i influeixi en les polítiques municipals actualment són?	Creus que les instàncies de vida associativa (cooperatives, entitats culturals, etc) al teu barri són?	Estaries d'acord amb que el regidor del districte sigui escollit directament per la gent?	Quins altres problemes no esmentats en el qüestionari són importants al barri on vius? I per la ciutat?	Tens alguna proposta per al barri / districte que es pogués implementar en el futur?	Quants anys tens?	Identifiques el teu gènere com		Barri		Codi Postal	Quin és el nivell màxim d'educació que has obtingut?	Quina és la teva situació laboral?		Participes en alguna associació / organització?
3667661014	60358171	27/12/2014 21:17:41	27/12/2014 21:21:17					Hi ha greus problemes				Dificultats accés als crèdits					Adequada	Poques places				Desigualtat entre escoles		Adequada				Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Molt dolenta	Alt	Beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls				Parcs / zones verdes	Biblioteques						Insuficients	Adequades	Sí		fer mes mercats d'intercanvi	51	Dona		El Clot		8018	Secundària	Aturat		No
3667656781	60358171	27/12/2014 21:09:02	27/12/2014 21:17:11					Hi ha greus problemes			Manca d'oferta pública / cooperativa					lloger molt cars	Adequada	Poques places						Adequada							llista d'espera	Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes						centres gent gran	Insuficients			falta d'unio veinal		52	Dona		----SANTS-MONTJUIC				Aturat		No
3667656719	60358171	27/12/2014 21:09:02	27/12/2014 21:12:57					Hi ha greus problemes				Dificultats accés als crèdits						Poques places						Bona				Durada dels temps d'espera				Massa elevades	Adequada	Molt alt	Perjudicial	Nivell excessiu				Sorolls				Parcs / zones verdes					Places				Sí				Dona					Primària	Jubilat / Pensionista		No
3667654369	60358171	27/12/2014 21:04:00	27/12/2014 21:08:12					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Molt dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Elevades	Adequada	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes			Zones per a esports				Molt insuficients	Adequades	Sí			42	Home		La Bordeta		8014	Universitària	Treballador per compte propi		No
3666938091	60358171	26/12/2014 18:57:05	26/12/2014 19:04:44					Hi ha greus problemes			Manca d'oferta pública / cooperativa			Desnonaments			Dolenta	Poques places					l' aposta  per part diferents governs generalitat per l'escola privada concertada	Dolenta		Manca de places/serveis hospitalaris				Problemes de qualitat		Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós							Cap	visc a Noubarris no hi ha turisme.. Seria bo crar albergs de gestió ciutadana	Parcs / zones verdes						places o espais que no siguin de ciment	Molt insuficients		Sí	creació de llocs de feina proximitat / transport interbarris Noubarris sant andreu Ciutat ; democràcia	Creació alberg de gestió ciutadana, / millora transpor public	47	Home		Vilapicina i la Torre Llobeta		8016	Secundària	Treballador per compte aliè		Sí
3664758540	60358171	23/12/2014 20:50:59	23/12/2014 20:58:16					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Dolenta						mala qualitat per manca de recursos humans i presupostaris	Molt dolenta	Manca de centres d'atenció primària						manca de presupost	Massa elevades	Molt dolenta	Molt alt	Perjudicial	Nivell excessiu			Saturació dels espais públics	Sorolls	Augment de les escombraries, brutícia			Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí			49	Home		El Raval		8001	Universitària	Treballador per compte aliè		Sí
3663916520	60358171	23/12/2014 09:01:16	23/12/2014 09:04:11					No hi ha problemes importants	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa				Excés de pisos buits		Bona	Poques places						Adequada						Problemes de qualitat		Elevades	Adequada	Normal	Perjudicial	Nivell excessiu				Sorolls	Augment de les escombraries, brutícia			Parcs / zones verdes				Zones de jocs per a nens			Insuficients	Adequades	Sí			70	Home		El Guinardó		8041	Primària	Jubilat / Pensionista		No
3663912003	60358171	23/12/2014 08:54:25	23/12/2014 08:59:34					Hi ha alguns problemes		Manca d'oferta de lloguer / compra					Excés de pisos buits	manca lloguer i excés pisos buits	Bona	Poques places	Lluny de casa					Dolenta	Manca de centres d'atenció primària			Durada dels temps d'espera				Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós				Saturació dels espais públics					Parcs / zones verdes							Molt insuficients	Adequades	Sí	transport adecuat al barr bus barri, manteniment asfalt i aparcaments	fe efectiva la comunicació entre entitats i ajuntament	61	Dona		El Guinardó		8041	Universitària	Jubilat / Pensionista		Sí
3663907995	60358171	23/12/2014 08:48:43	23/12/2014 08:52:01					No hi ha problemes importants			Manca d'oferta pública / cooperativa						Adequada											Durada dels temps d'espera				Massa elevades	Dolenta	Normal	Beneficiós															aparcaments coches	Insuficients	Molt insuficients	Sí			48	Home		El Guinardó		8041	Secundària	Treballador per compte aliè		No
3663904379	60358171	23/12/2014 08:40:57	23/12/2014 08:46:54					No hi ha problemes importants			Manca d'oferta pública / cooperativa													Bona				Durada dels temps d'espera				Massa elevades	Dolenta																	aparcament cotxes	Insuficients	Molt insuficients	Sí			43	Dona		El Guinardó		8041	Universitària	Treballador per compte aliè		No
3661994169	60358171	22/12/2014 07:22:18	22/12/2014 07:25:53					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Dolenta	Poques places						Dolenta		Manca de places/serveis hospitalaris						Adequades	Dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes							Insuficients	Insuficients	Sí			54	Home		La Sagrada Família		8013	Universitària	Treballador per compte aliè		Sí
3661540205	60358171	21/12/2014 22:32:34	21/12/2014 22:37:49					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Bona		Lluny de casa					Bona								Elevades			Ni perjudicial ni beneficiós							Cap			Biblioteques		Zones per a esports				Insuficients		Sí		Pacificar els trajectes, sobretot de cara els nens. Fer carrils bici.	36	Dona		El Putxet i el Farró		8022	Universitària	Treballador per compte aliè		No
3661463025	60358171	21/12/2014 20:24:54	21/12/2014 20:27:19					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Dolenta		Lluny de casa					Adequada					Problemes d'atenció / tracte	Problemes de qualitat		Elevades	Adequada	Normal	Perjudicial	Nivell excessiu			Saturació dels espais públics		Augment de les escombraries, brutícia		Desparició del comerç	Parcs / zones verdes	Biblioteques	Centres Civics		Zones de jocs per a nens	Places		Insuficients	Insuficients	Sí			29	Home		La Sagrada Família		8025	Universitària	Treballador per compte propi		Sí
3661412094	60358171	21/12/2014 19:03:25	21/12/2014 19:07:01					No hi ha problemes importants			Manca d'oferta pública / cooperativa						Dolenta					Desigualtat entre escoles		Bona							El cap Maragall es el q te mes pressio assistencial de la ciutat		Adequada	Normal	Ni perjudicial ni beneficiós								Estem a temps de fer prevenció respecte al turisme	Parcs / zones verdes				Zones de jocs per a nens			Insuficients	Insuficients	No ho sé			40	Dona		El Camp de l'Arpa del Clot		8026	Universitària	Treballador per compte aliè		Sí
3661408731	60358171	21/12/2014 18:58:23	21/12/2014 19:02:52					No hi ha problemes importants			Manca d'oferta pública / cooperativa						Adequada					Desigualtat entre escoles		Molt bona			Manca de serveis d'urgències					Massa elevades	Adequada	Baix	Beneficiós							Cap					Zones per a esports	Zones de jocs per a nens			Adequades	Insuficients	Sí			62	Dona		El Clot		8026	Secundària	Jubilat / Pensionista		No
3661405359	60358171	21/12/2014 18:53:07	21/12/2014 18:58:07					Hi ha alguns problemes								Ns nc							Ns nc	Bona				Durada dels temps d'espera				Adequades	Adequada	Baix	Beneficiós		Nivell insuficient																			82	Dona		El Clot		8026	Primària	Jubilat / Pensionista		No
3661402617	60358171	21/12/2014 18:48:47	21/12/2014 18:51:48					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Dolenta	Poques places						Adequada		Manca de places/serveis hospitalaris							Dolenta	Normal	Beneficiós							Cap					Zones per a esports				Molt insuficients	Molt insuficients	Sí			73	Home		El Clot		8026	Universitària	Jubilat / Pensionista		No
3661395432	60358171	21/12/2014 18:36:57	21/12/2014 18:48:17					Hi ha greus problemes						Desnonaments	Excés de pisos buits		Dolenta					Desigualtat entre escoles	Ensinistrament, adoctrinament, informació nociva per als individus i en contra de les necesitats creatives	Dolenta			Manca de serveis d'urgències			Problemes de qualitat		Massa elevades	Molt dolenta	Normal	Ni perjudicial ni beneficiós						Augment de les escombraries, brutícia			Parcs / zones verdes						Centres civics publics	Molt insuficients	Adequades	Sí	Manca de transparencia, traiciona la confiança	Liberalització de les vivendes buides per a l'us de la gent amb necessitat. Control de les residencies d'avis per a destapar el maltracte i la falta de cura.	38	Dona		El Camp de l'Arpa del Clot		8026	Universitària	Treballador per compte propi		Sí
3661392763	60358171	21/12/2014 18:32:34	21/12/2014 18:36:30					No hi ha problemes importants				Dificultats accés als crèdits					Adequada						Cap, esta be	Adequada				Durada dels temps d'espera				Massa elevades	Dolenta	Normal	Perjudicial							Cap						Zones de jocs per a nens			Insuficients	Insuficients	Sí	Punt de trobada per fer de tot	Mes locals associatius lliures gratuits publics	79	Home		El Camp de l'Arpa del Clot		8026	Secundària	Jubilat / Pensionista		Sí
3661387921	60358171	21/12/2014 18:24:58	21/12/2014 18:32:21					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra							Pisos turistics							Ns nc	Molt dolenta			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)					Manca de civisme i nombre de turistes							Ns nc	Molt insuficients	Insuficients	No	Estan treient el petit comerç a favor de les grans superficies	Formació als ciutadans en etica i politica. Penso que la gent no està encara ni preparada ni formada per a prendre decisins com la del regidor de barri.	27	Dona		La Sagrada Família		8025	Universitària	Altres (especifiqueu)	Treballa per compte alié i estudia	No
3661384189	60358171	21/12/2014 18:19:03	21/12/2014 18:24:38					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra				Condicions dels habitatges				Dolenta		Lluny de casa					Bona							Cap, estic contenta	Elevades	Dolenta	Molt alt	Beneficiós							Cap		Parcs / zones verdes	Biblioteques						Insuficients	Insuficients	Sí	Manca d'aparcaments i zones verdes		49	Dona		El Clot		8026		Treballador per compte aliè		No
3661381605	60358171	21/12/2014 18:15:01	21/12/2014 18:18:49					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Dolenta	Poques places						Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Elevades	Adequada	Alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes		Centres Civics					Insuficients	Insuficients	Sí			71	Home		El Clot		8013	Universitària	Jubilat / Pensionista		No
3661379044	60358171	21/12/2014 18:11:04	21/12/2014 18:14:46					Hi ha alguns problemes				Dificultats accés als crèdits		Desnonaments			Molt dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta				Durada dels temps d'espera			Manca de professionals	Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós								Que no se gestiona bien, con una buena gestión el turismo seria positivo.	Parcs / zones verdes								Insuficients	Sí			41	Home		El Camp de l'Arpa del Clot		8026	Secundària	Treballador per compte aliè		No
3661375744	60358171	21/12/2014 18:05:47	21/12/2014 18:10:44					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra					Desnonaments			Adequada	Poques places					Equidad relacion inmigrantes - autóctonos	Molt bona		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)			Augment de les escombraries, brutícia			Parcs / zones verdes			Zones per a esports				Molt insuficients	Adequades	Sí	La suciedad, la falta de civismo de los propietarios de perros	Mas limpieza. Mas control del gasto publico	48	Dona		El Clot		8041	Universitària	Jubilat / Pensionista		No
3661373120	60358171	21/12/2014 18:01:55	21/12/2014 18:05:23					Hi ha greus problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Dolenta	Poques places				Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Adequada	Baix	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes	Biblioteques						Molt insuficients	Insuficients	Sí	Transport public	Transparencia en gestion y destino de fondos	24	Dona		El Clot		8026	Universitària	Estudiant		Sí
3661369726	60358171	21/12/2014 17:57:06	21/12/2014 18:03:20					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra						Cal reforçar l'oferta de lloguer (no la de compra)	Dolenta	Poques places					Poques places públiques i de qualitat, i de concertades laiques. Però s'ha de reforçar l'escola pública	Dolenta	Manca de centres d'atenció primària			Durada dels temps d'espera				Elevades	Dolenta	Normal	Perjudicial	Nivell excessiu							Comerços adreçats als turistes sense cap qualitat cultural o comercial. Preus cars per a comerços de proximitat					Zones de jocs per a nens	Places		Adequades	Insuficients	Sí	La despersonalització dels barris, especialment els que tenen l'impacte de turisme.	Evitar que espais i equipaments emblemàtics no es converteixin en comerços globals (cine Niza, per ex)	51	Dona		La Sagrada Família		8013	Universitària	Treballador per compte aliè		No
3661369578	60358171	21/12/2014 17:56:52	21/12/2014 18:01:31					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra					Desnonaments			Adequada			Estat dels edificis i instal·lacions		Desigualtat entre escoles		Adequada				Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Molt dolenta	Normal	Ni perjudicial ni beneficiós					Sorolls	Augment de les escombraries, brutícia			Parcs / zones verdes			Zones per a esports				Molt insuficients	Adequades	Sí	Inseguretat ciutadana		21	Dona		El Clot		8026	Universitària	Estudiant		No
3661366860	60358171	21/12/2014 17:52:53	21/12/2014 17:56:16					No hi ha problemes importants				Dificultats accés als crèdits											Ns nc	Bona				Durada dels temps d'espera				Massa elevades	Molt dolenta	Baix	Beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls											Molt insuficients	Adequades	Sí	Seguretat i contaminacio	Transit i matricules alternatives	51	Home		El Clot		8026	Secundària	Altres (especifiqueu)	Baixa incapacitat	No
3661365243	60358171	21/12/2014 17:50:22	21/12/2014 17:52:40					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada	Poques places						Adequada			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Molt dolenta	Molt alt	Perjudicial					Sorolls	Augment de les escombraries, brutícia			Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Adequades	Sí	Que hi hagi mes civisme		56	Dona		El Clot		8026	Secundària	Treballador per compte propi		No
3661363252	60358171	21/12/2014 17:47:27	21/12/2014 17:50:08					Hi ha alguns problemes				Dificultats accés als crèdits					Bona						Recortes	Molt bona							Cap	Massa elevades	Dolenta	Baix	Beneficiós							Cap		Parcs / zones verdes		Centres Civics					Molt insuficients	Insuficients	Sí	Limpieza	Que no haya violencia callejera	74	Home		El Clot		8026	Secundària	Jubilat / Pensionista		Sí
3661361988	60358171	21/12/2014 17:45:25	21/12/2014 17:47:14					Hi ha alguns problemes							Excés de pisos buits		Adequada						Cap	Adequada				Durada dels temps d'espera				Elevades	Adequada	Normal	Ni perjudicial ni beneficiós							Cap										Adequades	Sí			63	Home		El Camp de l'Arpa del Clot		8041	Secundària	Jubilat / Pensionista		Sí
3661359973	60358171	21/12/2014 17:42:20	21/12/2014 17:45:15					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Bona	Poques places	Lluny de casa					Bona			Manca de serveis d'urgències	Durada dels temps d'espera				Massa elevades	Adequada	Normal	Beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics					Parcs / zones verdes	Biblioteques						Insuficients	Insuficients	Sí	Neteja, manteniments dels parcs i jardins	Mes ludoteques publiques per a infants	37	Dona		----SANT MARTÍ		8026	Universitària	Treballador per compte aliè		Sí
3661357985	60358171	21/12/2014 17:39:20	21/12/2014 17:42:02					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Dolenta	Poques places						Adequada							Cap	Elevades	Molt dolenta	Molt alt	Beneficiós							Cap		Parcs / zones verdes							Molt insuficients	Adequades	Sí			34	Dona		El Camp de l'Arpa del Clot		8041	Universitària	Aturat		No
3661356548	60358171	21/12/2014 17:37:07	21/12/2014 17:39:09					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada	Poques places				Desigualtat entre escoles		Bona				Durada dels temps d'espera				Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós					Sorolls				Parcs / zones verdes							Insuficients	Adequades	Sí			48	Home		El Camp de l'Arpa del Clot		8026	Primària	Treballador per compte aliè		No
3661354208	60358171	21/12/2014 17:33:30	21/12/2014 17:36:10					Hi ha greus problemes						Desnonaments		Atur i precarietat	Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta				Durada dels temps d'espera		Problemes de qualitat		Massa elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)			Augment de les escombraries, brutícia			Parcs / zones verdes		Centres Civics					Molt insuficients	Molt insuficients	Sí		Que els representants visquin al barri	51	Dona		El Camp de l'Arpa del Clot		8026	Universitària	Treballador per compte aliè		No
3661351504	60358171	21/12/2014 17:29:04	21/12/2014 17:33:23					Hi ha greus problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Adequada	Poques places				Desigualtat entre escoles		Adequada				Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Adequada	Baix	Beneficiós							Cap			Biblioteques			Zones de jocs per a nens			Molt insuficients	Adequades	Sí	Arreglar les rajoles del terra del carrer Rogent	Algun espai public on deixar els nens quan surten de l'escola (ex. Esplai)	70	Dona		El Clot		8026	Primària	Jubilat / Pensionista		No
3661348541	60358171	21/12/2014 17:24:58	21/12/2014 17:28:55					Hi ha alguns problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits								Ns nc								Ns nc	Adequades	Adequada	Baix	Ni perjudicial ni beneficiós							Cap								Restaurants, cafés (oferta variada)	Molt insuficients	Insuficients	Sí	Turismo masivo en otros barrios (gracia, barceloneta, gotic)		35	Dona		El Camp de l'Arpa del Clot		8026	Universitària	Treballador per compte aliè		No
3661346920	60358171	21/12/2014 17:22:37	21/12/2014 17:24:42					No hi ha problemes importants								Cap	Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Adequada							Cap	Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)							Biblioteques						Insuficients		Sí			23	Dona		El Clot		8026	Universitària	Estudiant		No
3661344231	60358171	21/12/2014 17:18:31	21/12/2014 17:22:27					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada	Poques places				Desigualtat entre escoles		Adequada							Cap	Elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls				Parcs / zones verdes				Zones de jocs per a nens			Insuficients	Adequades	Sí	Dificultat aparcament	Millor politica d'habitatge	48	Home		El Clot		8026	Universitària	Treballador per compte aliè		Sí
3661341641	60358171	21/12/2014 17:14:25	21/12/2014 17:18:18					Hi ha greus problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Dolenta	Poques places					Manca ajuts publics (governamentals)	Adequada		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Molt dolenta	Baix	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	Participacio ciutadana	No	40	Home		Sant Andreu		8027	Universitària	Treballador per compte aliè		No
3661337404	60358171	21/12/2014 17:08:21	21/12/2014 17:14:10					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada						Ns\nc	Adequada				Durada dels temps d'espera				Massa elevades	Bona	Alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes			Zones per a esports				Insuficients	Adequades	Sí	Seguridad, los robos cada vez son más frecuentes	Soporte económico para personas-cuidadores familiares	61	Home		Horta		8031	Primària	Jubilat / Pensionista		Sí
3660534483	60358171	20/12/2014 17:14:41	20/12/2014 17:23:52					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta			Estat dels edificis i instal·lacions				Dolenta				Durada dels temps d'espera				Massa elevades	Dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls				Parcs / zones verdes		Centres Civics	Zones per a esports				Molt insuficients	Adequades	Sí	Desaparició del comerç de proximitat, accés de la joventut a l'habitatge	Taxa turística, accés gratuït als monuments/centres culturals per als veïns	21	Dona		El Barri Gòtic		8002	Universitària	Altres (especifiqueu)	Estudiant i treballadora per compte aliè	Sí
3657650052	60358171	18/12/2014 23:20:01	18/12/2014 23:26:22					Hi ha greus problemes		Manca d'oferta de lloguer / compra			Condicions dels habitatges				Dolenta	Poques places		Estat dels edificis i instal·lacions				Dolenta		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Massa elevades	Molt dolenta	Molt alt	Perjudicial	Nivell excessiu			Saturació dels espais públics					Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	No ho sé	Trànsit / Transport públic		41	Home		El Barri Gòtic		8002	Universitària	Treballador per compte aliè		Sí
3657539412	60358171	18/12/2014 22:16:45	18/12/2014 22:19:25					Hi ha alguns problemes																																																									
3656344058	60358171	18/12/2014 13:22:10	18/12/2014 13:31:25					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra				Condicions dels habitatges					Poques places				Desigualtat entre escoles		Adequada	Manca de centres d'atenció primària			Durada dels temps d'espera				Massa elevades	Molt dolenta	Alt	Perjudicial				Saturació dels espais públics	Sorolls										bancs on seure, skateparks per als patinadors	Insuficients	Adequades	No ho sé	el pla que els actuals polítics tenen per al barri, sense comptar amb el seus habitants		25	Home		El Poble Sec		8004	Secundària	Treballador per compte aliè		Sí
3655993905	60358171	18/12/2014 09:17:56	18/12/2014 09:25:33					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra			Condicions dels habitatges			Turistificació del barri. Apartaments turistics que fan pujar el preu de l'habitatge	Dolenta					Desigualtat entre escoles		Adequada								Massa elevades	Dolenta	Molt alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls	Augment de les escombraries, brutícia		Deshumanització del barri	Parcs / zones verdes			Zones per a esports	Zones de jocs per a nens			Molt insuficients	Adequades	Sí	Estem perdent el nostre barri i l'estem convertint en una nova disneylandia, expulsant als veins i comerciants.	A nivell global, repensar el model de turisme a Barcelona. A nivell molt concret, redissenyar el sistema de recollida d'escombraries. Actualment les escombraries o be es porten al contenidor (hi ha pocs, i mal colocats) o es deixen al carrer a partir de les 8 del vespre. Es una mesura totalment anti-higiènica i és molt desagradable arribar a casa teva a les 9 del vespre i veure el carrer tot ple de bosses d'escombraria pel terra, algunes d'elles trencades. La solució passaria per fomentar el reciclatge, incrementar els punts de deixada d'escombraries i eliminar la recollida porta a porta.	47	Dona		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte propi		Sí
3655966594	60358171	18/12/2014 08:55:35	18/12/2014 09:01:30					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Adequada		Lluny de casa					Adequada				Durada dels temps d'espera				Adequades	Adequada	Alt	Ni perjudicial ni beneficiós							Cap					Zones per a esports				Adequades	Adequades	Sí	Problemes de civisme a l'espai públic i de convivència entre tots els modes de transport.	itineraris recomanats per a ciclistes. Sóc ciclista però no m'agrada que s'envaixin voreres amb molts vianants existint carrers paral·lels més buits. Abans de multar, cal informar i identificar rutes recomanables (parlo de la Vila de Gràcia)	33	Home		La Vila de Gràcia		8024	Universitària	Treballador per compte aliè		Sí
3655959602	60358171	18/12/2014 08:45:22	18/12/2014 08:54:18					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Adequada					Desigualtat entre escoles		Adequada			Manca de serveis d'urgències					Elevades	Adequada	Baix	Ni perjudicial ni beneficiós							Cap					Zones per a esports				Insuficients	Adequades	Sí	Falta de vida juvenil (equipaments, activitats)	No	34	Home		La Sagrera		8027	Universitària	Treballador per compte aliè		Sí
3655899983	60358171	18/12/2014 07:53:11	18/12/2014 08:01:39					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra					Desnonaments			Molt dolenta			Estat dels edificis i instal·lacions	Mala qualitat de l'ensenyament			Molt dolenta		Manca de places/serveis hospitalaris					falta de medis als centres, centres tancats per retallades...	Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós								per ara no han arribat a Nou Barris, com a minim de manera clara, per tant aqui encara no molesten. Tot i aixi temo el dia en que el turisme arribi aqui.				Zones per a esports	Zones de jocs per a nens			Molt insuficients	Adequades	Sí	la manca d'escoles bressol, l'abandonament de barris del voltant, la delincuencia associada a la pobresa...	si, la creació d'un organ dedicat a ajudar els nens menys afavorits, que per desgracia són molts.	20	Dona		El Turó de la Peira		8031	Universitària	Estudiant		No
3654958561	60358171	17/12/2014 20:15:59	17/12/2014 20:28:23					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places	Lluny de casa					Adequada		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	oferta pública de secundaria (Instituts)	Construcción de al menos un Instituto publico el Les Corts no en Pedralbes. Construcción de un Polideportivo ya que la oferta es insuficiente	56	Home		Les Corts		8029	Universitària	Treballador per compte aliè		Sí
3654931280	60358171	17/12/2014 20:15:59	17/12/2014 20:28:10					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places	Lluny de casa					Adequada		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	oferta pública de secundaria (Instituts)	Construcción de al menos un Instituto publico el Les Corts no en Pedralbes. Construcción de un Polideportivo ya que la oferta es insuficiente	56	Home		Les Corts		8029	Universitària	Treballador per compte aliè		Sí
